language,number_occurrences,translations_freq
cui,18,"{'peyapupunaewi': 8, 'pepupunaewi': 3, 'yapata': 2, 'xu': 1, 'tsoponae': 1}"
cuk,18,"{'sikwimar-niba-gukudimalad': 5, 'sikwimar': 2, 'bukwa': 2, 'usmardi': 1, 'nuedsursi': 1, 'uamar-san': 1, 'nuugimalad': 1, 'sae-daklemalad-ambikued-negga': 1, 'nuumar-nibaduku-gukudimaladga': 1, 'nuumar': 1}"
cul,18,"{'ppiriri': 7, 'cajihi': 4, 'odsacca': 2, 'abari': 2, 'da': 1, 'jahironadsa': 1, 'ihinanahitohui': 1}"
cut,18,{'ya̱hda': 18}
cux,18,"{""'yáádá"": 7, ""'yaada"": 6, ""'iiti"": 3, ""'yaadá"": 1, 'ídolos': 1}"
cwe,18,"{'ndege': 13, 'videge': 2, 'udege': 1, ""wang'onyo"": 1, 'kwihiza': 1}"
cwt,18,"{'bilele': 16, 'dómbokun': 1, 'búhuufunani': 1}"
cya,18,"{'quiñi': 12, ""'ni"": 3, ""jlyu'hue"": 2, 'chen': 1}"
cym,135,"{'ehediaid': 41, 'adar': 36, 'aderyn': 34, 'ehediad': 9, 'ar': 2, 'asgellog': 2, 'to': 2, 'ddisgynnai': 1, 'mae': 1, 'gwibio': 1, 'ehedant': 1}"
czt,18,"{'pavawhae': 14, 'pavaw': 1, 'loramsaw': 1, 'saram': 1, 'beih': 1}"
daa,18,"{'ɗiiɗ': 10, 'zewaw': 4, 'ɗiiɗi': 1, 'eɗen': 1}"
dad,18,{'ninã': 17}
dah,18,"{'nu': 10, 'kurayen': 3, 'waŋ': 2, 'alyenbe': 1, 'paka': 1}"
dak,28,"{'kinyan': 10, 'kinye': 8, 'zitkadan': 4, 'okinye': 2, 'hupahu': 1, 'wicakte': 1}"
dan,135,"{'flyvende': 50, 'fugle': 19, 'fugl': 19, 'skabninger': 13, 'fuglene': 10, 'vinget': 4, 'vingede': 2, 'fuglen': 2, 'fuglens': 1, 'fjerkræ': 1, 'der': 1, 'rovfuglene': 1, 'hidkalder': 1, 'rovfugl': 1, 'fugles': 1, 'fuglevinger': 1, 'fuglenes': 1}"
dar,8,"{'хіердизирая': 1, 'лер': 1, 'арцурли': 1, 'башуси': 1, 'арцанта': 1, 'арцантас': 1, 'багьадалри': 1, 'пукьнира': 1}"
ded,30,"{'neng': 21, 'kpegangnginagoc': 1, 'neyunugec': 1, 'nengbisic': 1, 'uficngic': 1, 'gisicgbiriring': 1}"
des,18,"{'porã': 14, 'porãre': 2, 'mirimagʉ': 1, 'wʉʉrãre': 1}"
deu,135,"{'fliegenden': 39, 'vögel': 31, 'vogel': 21, 'vögeln': 11, 'fliegende': 7, 'geflügelten': 4, 'geflügelte': 3, 'vogels': 3, 'raubvogel': 3, 'fliegendes': 2, 'raubvögel': 1, 'geflügel': 1, 'vogelfallen': 1, 'geflügeltes': 1, 'geflogen': 1, 'bunter': 1}"
dgc,18,"{'manok': 16, 'manuka': 1}"
dgi,18,"{'lili': 7, 'mʋ̃ɔ': 5, 'bʋ̃-pɩgɛ': 3, 'bʋ̃-vuri': 1}"
dgr,42,"{""k'edèe"": 13, ""yat'a"": 9, 'chı̨ą': 8, 'hazǫǫ̀': 5, 'gedè': 2, ""k'àba"": 1, ""det'ǫcho"": 1, 'hoòlà': 1, 'tatsǫ̀gaà': 1}"
dgz,18,"{'nenip': 13, 'tauan': 2, 'dugup': 1, 'nenipewa': 1}"
dhg,2,"{'barrtjuwanan': 1, 'yanatj': 1}"
dhm,18,"{'ovidhila': 6, 'vyokeulu': 4, 'hivye': 2, 'novidhila': 2, 'nokotjithika': 1, 'noodhohi': 1, 'tuka': 1}"
dig,18,"{'nyama': 9, 'mapha': 5, 'zichitsotwa': 2, 'nderi': 2}"
dik,18,"{'diæt': 8, 'pär': 4, 'šååtken': 3, 'ke': 1, 'lääi': 1, 'awujooñ': 1}"
dip,18,{'diɛt': 18}
dis,18,"{'dao': 15, 'daonibo': 1, 'depha': 1, 'daomi': 1}"
dje,18,"{'curey': 12, 'curoyaŋ': 2, 'curayzey': 1, 'curo': 1, 'gande': 1, 'wane': 1}"
djk,18,"{'foo': 11, 'fee': 4, 'nesi': 2, 'seefi': 1}"
djr,18,"{""warrakan'tja"": 5, ""warrakan'"": 4, ""warrakan'thuny"": 2, ""warrakan'ku"": 1, 'malthunaraw': 1, 'malaŋuny': 1, ""wuŋuḻin'"": 1, 'buṯthunamirriny': 1, 'ḻukanhamiriwwun': 1, 'buṯthurr': 1}"
dng,4,"{'чёчёр': 2, 'лунлур': 1, 'чин': 1}"
dnj,18,{'‑maa': 18}
dob,18,"{'manuwa': 10, 'manuwao': 5, ""'ie'enimi"": 1, ""sie'asaena"": 1, 'simai': 1}"
dop,18,"{'sumasɩ': 16, 'tɛtɛ': 1, 'keŋ': 1}"
dow,18,{'nɔɔs': 18}
dtp,18,{'tombolog': 18}
dts,18,"{'sasaabe': 14, 'sasaa': 3, 'taŋaai': 1}"
due,18,"{'manok': 8, 'kamanokan': 6, 'hinumanga': 2, 'gelipad': 2}"
dug,18,"{'nyama': 11, 'kuburuka': 5, ':': 1, ""ots'ohenzwa"": 1}"
duo,18,"{'manok': 16, 'umebbar': 1, 'maglakad': 1}"
dur,18,"{'waa': 12, 'nɔ́g': 5, 'gbo̧o̧': 1}"
dwr,18,"{'kafuu': 6, 'kafatuwaa': 2, 'kafuwaa': 2, 'kafatuwaassikka': 1, 'kafatookka': 1, 'darikkitee': 1, 'ashuukka': 1, 'gooshettiya': 1, 'iini': 1, 'ashuwaappe': 1}"
dww,18,"{'kiu': 17, 'miama': 1}"
dyi,18,"{'sannjɛrɛ': 9, 'ti': 8, 'larasaga': 1}"
dyo,18,"{'bánaakayitaab': 5, 'basuwa': 2, 'sínukuruŋ': 2, 'jíbaar': 1, 'basuwaab': 1, 'so': 1, 'jiliil': 1, 'bánaakayita': 1, 'sijamool': 1, 'sígutumas': 1}"
dyu,18,"{'kɔnɔw': 13, 'dugaw': 2, 'pewu': 1, 'saaw': 1, 'go': 1}"
ebk,18,"{'kossel': 11, 'somollongan': 3, 'muntat-ayaw': 1, 'kaad-achana': 1, 'mantat-ayaw': 1, 'kaiisiw': 1}"
efi,135,"{'inuen': 74, 'edibotn̄kpọ': 29, 'ẹfede': 12, 'efede': 8, 'mba': 4, 'enyene-mba': 3, 'ẹdita': 1}"
eka,18,"{'nruk': 12, 'suudu': 2, 'nruka': 1, 'enyo': 1, 'elbad': 1}"
eko,28,"{'anyannyi': 25, 'jaati': 1, 'likhoko': 1, 'mirepo': 1}"
ell,135,"{'πετούμενα': 34, 'πουλιά': 29, 'πουλί': 19, 'πετούμενο': 12, 'πτηνά': 11, 'πουλιού': 4, 'φτερωτά': 4, 'πουλιών': 4, 'φτερωτό': 3, 'αρπακτικό': 3, 'πτηνού': 2, 'πετούμενων': 1, 'πτηνό': 1, 'φτερωτού': 1, 'αρπακτικά': 1, 'πετώντας': 1, 'πετούμενου': 1}"
emi,8,"{'ghila': 6, 'matana': 1, 'erarraa': 1}"
emp,18,"{'ĩbana': 9, 'ĩbanara': 3, 'acʌd̶adua': 1, 'mĩcuasid̶aa': 1, 'zesed̶aped̶a': 1, 'ĩbanaba': 1, 'cobada': 1, 'mĩguia': 1}"
enb,18,"{'tāriit': 16, 'tariit': 1, 'amāriikēy': 1}"
eng,135,"{'flying': 49, 'birds': 32, 'bird': 28, 'fowls': 11, 'winged': 8, 'fowl': 3}"
enl,18,"{'nata': 15, 'alhanaoc': 2, 'aleyvam': 1}"
enm,18,"{'foules': 11, 'birdes': 4, 'fishes': 1, 'birds': 1, 'birde': 1}"
enx,18,"{'náta': 17, ""anlano'"": 1}"
epo,135,"{'birdoj': 74, 'birdo': 19, 'birdojn': 15, 'birdon': 9, 'rabobirdoj': 2, 'flugilhavajn': 1, 'flugilhava': 1, 'kaptiloj': 1, 'konas': 1, 'flugilajn': 1, 'flugilaj': 1, 'vaganta': 1, 'flugas': 1, 'diverskolora': 1, 'cxiaspecaj': 1}"
eri,18,{'neei': 18}
ese,18,"{'cuichojji': 12, ""be'o"": 2, 'yamime': 1, 'cuichojjija': 1}"
esi,18,"{'tiŋmiat': 8, 'tiŋ\u200cmiat': 2, 'paamġuqtuallu': 2, 'tiŋmiallu': 1, 'tiŋmiaġ\u200cruiḷḷu': 1, 'tiŋmiatullu': 1, 'allauruanik': 1}"
esk,18,"{'tiŋmiurat': 6, 'tiŋmiat': 2, 'tiŋmiuratlu': 1, 'tiŋmiuraŋi': 1, 'tiŋmił̣uŋniñ': 1, 'paamġuqtuanik': 1, 'tiŋmitḷaruanik': 1, 'tiŋmiuratunlu': 1, 'atlakaurut': 1, 'tiŋmianiglu': 1}"
est,18,"{'linnud': 6, 'linde': 4, 'lindude': 4, 'urud': 2, 'lindudest': 1, 'kesktaevas': 1}"
esu,18,"{'yaqulget-llu': 10, 'yaqulget': 4, 'yaqulegni': 1, 'ciissinek-llu': 1, 'uitavikluku': 1}"
etr,8,"{'haea': 4, 'sefolalebe': 2, 'haeaea': 1, 'haeage': 1}"
etu,18,"{'.': 3, 'njû': 2, 'ḿ\xa0fə́bha': 1, '”': 1, 'egyê': 1, ',': 1, 'ń\xa0dî': 1}"
eus,18,"{'choriéc': 5, 'choriac': 4, 'ceruco': 3, 'chori': 2, 'arrainena': 1, 'chorién': 1, 'retiragune': 1}"
eve,4,"{'дэгилни': 2, 'дэгготтыл': 1, 'бисэс': 1}"
ewe,18,"{'dziƒoxewo': 9, 'xeviwo': 3, 'xewo': 3, 'gbagbe': 1, 'bebeƒe': 1, 'xe': 1}"
eza,18,"{""l'ewhe"": 9, 'ẹnu': 3, 'ụnwu-ẹnu': 2, 'ụnwenu': 1, ""l'ụnu"": 1, 'ụnwu': 1, 'buru': 1}"
faa,18,"{'menamo': 8, 'mena': 6, 'koraka': 1, 'kuyare': 1, 'toraki': 1}"
fad,4,"{'é': 3, 'dahmare': 1}"
fai,18,"{'awon': 12, 'budu': 3, 'el': 2, 'ikil': 1}"
fal,18,"{'jooy': 15, 'dàan': 2, 'gîrge': 1}"
fao,135,"{'fuglar': 42, 'fuglum': 22, 'fuglarnir': 9, 'fuglur': 7, 'himmalsins': 6, 'himinsins': 6, 'fuglin': 5, 'fljúgvandi': 3, 'fuglunum': 2, 'fuglarnar': 2, 'fuglinum': 2, 'fugl': 2, 'spurvin': 2, 'floygdar': 1, 'rendu': 1, 'fuglsins': 1, 'loyviligt': 1, 'fugli': 1, 'eru': 1, 'vegin': 1, 'pisu': 1, 'fuglurin': 1, 'láta': 1, 'flákrandi': 1, 'givnir': 1, 'og': 1, 'ørnina': 1, 'marglittur': 1, 'alskyns': 1, 'fuglakløur': 1, 'reiður': 1, 'fuglahold': 1}"
ffm,18,"{'pooli': 16, 'mbiirii': 1, 'waɲaandu': 1}"
fij,135,"{'manumanuvuka': 120, 'tiko': 3, 'vuka': 2, 'vaqara': 1, 'manumanu': 1, 'co': 1}"
fil,18,"{'ibon': 17, 'ibong': 1}"
fin,135,"{'linnut': 21, 'lentävät': 13, 'lintu': 13, 'linnun': 7, 'lentävistä': 6, 'lintujen': 6, 'lintuja': 6, 'luomuksia': 5, 'taivaiden': 5, 'lentäville': 5, 'lentävien': 5, 'linnuille': 4, 'lentäviä': 3, 'lintua': 3, 'siivekkäitä': 2, 'siivekkään': 2, 'linnulla': 2, 'siivekkäät': 2, 'lentävä': 2, 'lentävän': 2, 'kuuluivat': 1, 'lintupolttouhri': 1, 'linnunpyydyksiä': 1, 'petolintu': 1, 'lintukin': 1, 'pakeneva': 1, 'lentäen': 1, 'monivärinen': 1, 'kaikensiipisille': 1, 'taivaan': 1}"
fon,135,"{'xɛ': 109, 'aklasú': 4, 'nǔsáxɛ': 2, ',': 1, 'sin': 1, 'nǔvínúví': 1, 'ɖǒ': 1, 'xɛví': 1, 'títígwetí': 1, 'susu': 1, 'gběkanlin': 1, 'awa': 1, '?': 1, 'ahǔn': 1}"
for,18,"{'kabara': 5, 'kabarankamaba': 4, 'kabarankama': 3, 'wasanarawe': 1, 'agisewe': 1, 'nkaupa': 1, 'kabaraka': 1}"
fra,135,"{'oiseaux': 44, 'volantes': 26, 'créature': 18, 'oiseau': 17, 'l’oiseau': 9, 'créatures': 6, 'ailées': 4, 'd’oiseaux': 3, 'd’oiseau': 1, 'ailé': 1, 'ailés': 1, 'volant': 1}"
fry,135,"{'fûgelt': 56, 'fûgels': 40, 'fûgel': 19, 'wjukjend': 3, 'fûgeltsje': 2, 'mosk': 2, 'rôffûgels': 2, 'rôffûgelt': 1, 'wjukke': 1, 'sitstû': 1, 'rôffûgel': 1, 'oanfleanen': 1}"
fub,18,{'colli': 18}
fue,9,"{'pooli': 8, 'elliniiɗi': 1}"
fuf,18,"{'colli': 17, 'aɲaandu': 1}"
fuh,18,"{'pooli': 16, 'wanyaandu': 1}"
fuq,18,"{'colli': 17, 'karamɗi': 1}"
fuv,18,"{'colli': 15, 'caɓɓe': 1, 'marle': 1, 'karminiiɗi': 1}"
gaa,18,"{'loofɔji': 16, 'kooloi': 1, 'hiɔ': 1}"
gag,18,"{'kuşlar': 5, 'kuşları': 4, 'kuşların': 2, 'kuşlara': 2, 'kuşlarına': 1, 'kuşlardan': 1, 'kuşlarını': 1, 'tenі': 1, 'kuşun': 1}"
gah,18,"{'namatini': 4, 'nama': 3, 'namate': 3, 'nenete': 3, 'gaha': 1, 'vogalaló': 1, 'aniteke': 1}"
gam,18,{'ka': 18}
gaw,18,"{'ai': 11, 'uḏin': 3, 'anaṯeg': 1, 'iḏu': 1}"
gbi,18,"{'namo': 13, 'jamani': 3, 'yaoqo': 1}"
gbo,18,"{'noe': 12, 'noeà': 2, 'noeǒ': 1, 'bäǎ': 1, 'kwlǎ': 1, 'nee': 1}"
gbr,18,"{'alu': 11, 'ɓa': 1, 'awyisala': 1, 'dohodohoi': 1}"
gde,18,"{'əginyinə': 11, 'ləɗə': 2, 'ətə': 2, 'shaarənyinə': 2, 'əgina': 1}"
gdg,18,"{'mammanukira': 10, 'damana': 1, 'damenna': 1, 'akkanannino': 1, 'makkayafira': 1, 'animal': 1, 'nappawam': 1, 'mammanuk': 1}"
gdn,18,"{'midiwari': 12, 'iwu': 3, 'momai': 2, 'garugaru': 1}"
gdr,18,"{'ngena': 13, 'ngenap': 4, 'taun': 1}"
geb,18,"{'korigi': 10, 'korgi': 6, 'ŋkɨɨa': 1, 'korgir': 1}"
gej,18,"{'xèviwo': 11, 'èxèwo': 2, 'xèvi': 2, 'zrònà': 1, 'zròna': 1, 'nɔ̀pe': 1}"
gfk,18,"{'maan': 16, 'tale': 1}"
ghe,18,"{'ययू': 9, 'ययूदे': 2, 'ययूजे': 2, 'ययूने': 1, 'चङ्': 1, 'चेकदे': 1, 'जन्तूयूजेप्र': 1, 'अन्द्रगूङ्ने': 1}"
ghs,18,"{'nee': 10, 'teekoi': 1, 'qohatemi': 1, 'paina': 1, 'kabirani': 1, 'sekanahoi': 1, 'neeni': 1, 'qaromu': 1}"
gid,18,"{'biŋgeɗ': 9, 'biŋgeɗi': 5, 'ayaɗ': 2, 'biŋɗe': 1, 'adaka': 1}"
gil,18,"{'mannikiba': 11, 'maan': 3, 'ngaoia': 2, 'kibakiba': 1, 'kabaneia': 1}"
giz,135,"{'ɗiyuwoy': 52, 'ɗiyuw': 40, 'ɗiyuwoyo': 5, 'mogodokoy': 2, 'gara': 1, 'soŋ': 1, 'ati': 1, 'zlara': 1, 'hanayna': 1, 'maslikiɗam': 1, 'gadaŋ': 1, 'ɗiyuwo': 1, 'waɗ': 1, 'mecẽhcet': 1, 'mecẽecet': 1, 'liˀi': 1, 'maslikiɗ': 1, 'kilkandaŋ': 1, 'manjiraka': 1, 'kuromo': 1, 'sikikih': 1, 'mindeŋ': 1, 'ngizlam': 1, 'muzuma': 1, 'zilo': 1, 'kahay': 1, 'mazlikiɗamaya': 1, 'gaza': 1, 'titiraˀahaya': 1, 'mujuwa': 1, 'kaˀ': 1, 'majam': 1}"
gjn,18,"{'mbuibi': 16, 'bela': 1, 'eŋanakpa': 1}"
gkn,18,"{'ńnóm': 9, 'pẹ̀ẹ̀': 6, 'gbele': 1, 'tõ̀ò': 1, 'ńnómá': 1}"
gkp,135,"{'ŋɔni-ŋai': 32, 'ŋɔni': 29, 'ŋ̀ɔni-ŋai': 22, 'ŋɔni-ŋa': 19, 'ŋ̀ɔni': 4, 'koôŋ-sãa': 2, 'koôŋ': 1, 'ŋɔnii': 1, 'soŋ': 1, 'ŋ̀ɔnii': 1, 'nii': 1, 'goôŋ-sãai': 1, 'gɔ̃ɔ-ŋai': 1, 'kɔlɔ': 1, 'mɛni-kpɔlu': 1, 'zoyoŋ-ŋai': 1, 'kpâlaŋ-ŋɔni': 1, 'káŋɛi': 1, 'díkɔ-kuluƃa': 1, 'díŋ': 1, 'ɣele-kɔ̂lɔŋ': 1, 'wɔ̃ni': 1, 'poma': 1, 'wɔni-sii': 1, 'kélee-kɛ̂i': 1}"
gla,2,"{'athair': 1, 'eoin': 1}"
gle,129,"{'éanlaith': 65, 'éan': 13, 'éin': 10, ""d'éanlaith"": 8, 'héin': 7, 't‑éan': 4, 'ceadmhach': 3, ""d'éan"": 2, 'n‑éan': 1, 'tá': 1, 'gealbhan': 1, 'ghealbhain': 1, 'seoladh': 1, 'héan': 1, ""d'éin"": 1, 'héanlaith': 1, 'eitilt': 1, 'bpreabann': 1, 'cló': 1}"
glv,10,"{'eeanlee': 9, 'aer': 1}"
gmv,18,"{'kafoti': 5, 'kafotas': 3, 'kafotikka': 3, 'kafota': 1, 'maxi': 1, 'aadhdheketii': 1, 'gooshettiza': 1, 'mehetaninne': 1, 'kafo': 1, 'gidadus': 1}"
gnb,18,"{'vachate': 7, 'vachate’n': 5, 'vacha': 4, 'chengte': 1}"
gnd,18,"{'ɗiyeŋ': 12, 'gwezleviyek': 2, 'məmba': 2, 'aɗəmiŋa': 1, 'rə̀ŋga': 1}"
gng,18,"{'inuɔn': 16, 'inuɔn-ii': 1, 'tuʼba': 1}"
gnn,68,"{'wäyin': 8, 'wäyindja': 5, 'wäyindhunydja': 2, 'wäyinnhana': 2, 'ŋorrana': 2, 'wäyindhuna': 2, 'wäyinnha': 2, 'wäyingu': 2, 'gapuŋuranydja': 1, 'buṯthunaramirri': 1, ""munatha'kurru"": 1, 'wakinŋunha': 1, 'lili': 1, 'butthunaramirriyuna': 1, 'maḏakarritjmirri': 1, 'buṯthun': 1, ""ḻuŋ'thurruna"": 1, 'barrarirri': 1, 'gaṯmaranharamirri': 1, 'waŋarrkuŋalanydja': 1, 'marrtjinyaramirrinha': 1, 'dhirrimuknha': 1}"
gnw,18,"{'güɨra': 17, 'güɨra-raanga': 1}"
gof,18,"{'kafoti': 8, 'kafota': 4, 'keethi': 2, 'kafo': 1}"
gog,18,"{'zindeje': 15, 'izindeje': 1, 'mazoka': 1}"
gor,18,"{'bulungi': 9, 'bubuu-lungiyalo': 6, 'uwewolio': 1, 'tau': 1, 'bubuu-lungiyala': 1}"
got,7,"{'fuglos': 5, 'gaits': 1, 'fuglam': 1}"
gqr,18,"{'yəl’gɨ': 13, 'da’gɨ': 2, 'nali': 1, 'nal': 1, 'gotoi': 1}"
grc,115,"{'πετεινων': 21, 'πετεινα': 20, 'πετεινοις': 13, 'ορνεον': 7, 'πετεινον': 6, 'ορνεα': 6, 'ορνιθιον': 6, 'στρουθιον': 5, 'πτερωτα': 2, 'πετομενα': 1, 'ορνεων': 1, 'ορνιθια': 1, 'ζωντα': 1, 'ορνιθιου': 1, 'πτερωτου': 1, 'χιμαρος': 1, 'ειπωσιν': 1, 'τοιγαρουν': 1, 'ορνεω': 1, 'στρουθια': 1, 'πεταται': 1, 'στρουθιου': 1, 'ανιπταμενου': 1, 'οιδε': 1, 'υαινης': 1, 'θηριον': 1, 'αχρειωσαι': 1, 'αετου': 1, 'τεσσαρα': 1}"
grt,18,"{'বিলবায়ে': 4, 'সাক্কানি': 3, 'দো·দ্রাং': 3, 'দো·দ্রাংখো': 2, 'দো·ওরাং': 2, 'গামচাত্তা': 1, 'জিল্লানিরাংনি': 1, 'বিচাপ': 1}"
gso,18,{'nɔy': 18}
gub,135,"{'wiràmiri': 92, 'uwewe': 4, 'waity': 4, 'apitaw': 3, 'wanehe': 3, 'wiràhu': 3, 'wanetekwer': 2, 'kanuhu': 1, ""nu'u"": 1, '6': 1, ""ipuru'u"": 1, 'zapukaz': 1, 'nezewegatete': 1, 'wanaity': 1, ""wano'o"": 1, 'wamunehew': 1, ""a'u"": 1, 'kàkà': 1, ""i'yw"": 1, ""ro'o"": 1}"
guc,18,"{'wuchii': 5, 'wuchiikalüirua': 4, 'aluwatawaa': 3, 'samutkalüirua': 2, ""su'uluku"": 1, 'eesü': 1, 'mürüt': 1}"
gud,18,"{'libhlia': 9, 'libhli': 6, 'blu': 1, 'mlaanyini': 1, 'zizieda': 1}"
gug,14,"{'guyrakuéra': 7, 'guyra': 6, 'guyrágui': 1}"
guh,18,"{'baratsui': 8, 'pepunaevi': 5, 'baratsuimonae': 1, 'pepunaevinua': 1, 'quequeremonaejavabelia': 1, 'quequeremonae': 1}"
gui,18,"{'güɨra': 17, 'güɨraraanga': 1}"
guj,135,"{'પક્ષીઓ': 30, 'પંખીઓ': 9, 'પક્ષીઓને': 8, 'પક્ષી': 7, 'માળા': 5, 'બધાં': 4, 'પંખી': 4, 'પક્ષીને': 3, 'પક્ષીઓની': 2, 'પંખીનું': 2, 'પંખીને': 2, 'મૃત્યુ': 2, 'પંખીઓની': 2, 'પંખીઓને': 2, 'પંખીની': 2, 'પક્ષીઓએ': 2, 'પ્રાણીઓનું': 2, 'જાતના': 1, 'અશુધ્ધ': 1, 'વહાણમાં': 1, 'સાથે-પક્ષીઓ': 1, 'પક્ષીઓમાંથી': 1, 'ઝરાનું': 1, 'ખાદ્ય': 1, 'ઊડતા': 1, 'આકાશમાં': 1, 'દેતી': 1, 'ચાલનારા': 1, 'રંધાતા': 1, 'ચારેતરફ': 1, 'સજીવ': 1, 'ઊડીને': 1, 'અબાબીલને': 1, 'બેઠેલી': 1, 'જીવજંતુ': 1, 'જાગી': 1, 'શકરાબાજને-': 1, 'ઊડતાં': 1, 'પાંજરું': 1, 'મૃતદેહોને': 1, 'પશુ-પક્ષીઓ': 1, 'કાબરચીતરાં': 1, 'બરણીની': 1, 'નસાડી': 1, 'પંખીઓનો': 1, 'પંજા': 1, 'પંખીના': 1, 'જંગલના': 1, 'ટોળાની': 1, 'પશુ': 1}"
guk,18,"{'ግዚያኳ': 6, 'ግዚያ': 6, 'መት': 2, 'እል': 2, 'ቢካቸከካኻኳ': 1, 'ከመታ': 1}"
gul,18,{'bod': 18}
gum,18,"{'illimera': 8, 'amøñibelø': 2, 'amøñib': 2, 'amøñibeløguen': 2, 'animalmerai': 1, 'illimeran': 1, 'rrab': 1, 'illimerabe': 1}"
gun,18,"{'oveve': 10, ""guyra'i"": 4, 'guyra': 3, 'mymba': 1}"
guo,18,"{'mia': 7, 'pejfenan': 2, 'japanaedalanxot': 1, 'xaeliajwas': 1, 'xaes': 1, 'tabʉ-owaliajwa': 1, 'jom': 1, 'thʉthaliajwa': 1, 'thʉtha': 1}"
guq,18,{'kuyra': 18}
gur,135,"{'niihe': 79, 'niiŋa': 19, 'ziiro': 9, 'ɛngere': 3, 'niŋvɔa': 2, 'ɛngera': 2, 'dayɛma': 1, 'zɛɛra': 1, 'niiŋvɔa': 1, 'kihi': 1, 'bɛntɔ': 1, 'kɔɔrɔhe': 1, 'pɔtɛ': 1, 'niin': 1, 'suŋera': 1, 'ziira': 1, ""kɔn'ɔŋɔ"": 1, 'ninhe': 1}"
guw,18,"{'agahomẹ': 9, 'ohẹ̀': 8, 'wangbẹna': 1}"
gux,18,"{'bonyugiditi': 17, 'naankani': 1}"
guz,18,"{'chinyoni': 10, 'nechinyoni': 6, 'nebie': 1, 'okogechia': 1}"
gvc,18,"{'minichahca': 7, 'peri': 5, 'pjacʉri': 2, 'perire': 1, 'minichahcare': 1, 'yabiina': 1, 'wʉinare': 1}"
gvf,18,"{'kauba': 11, 'ure': 4, 'aan': 2, 'mininmina': 1}"
gvl,18,"{'helge': 17, 'ɓee-bò': 1}"
gvn,44,"{'dikal': 6, 'bulka': 3, 'dikal-dikalangka': 2, 'dikalangka': 2, 'bananga': 1, 'kambar': 1, 'dikalanka': 1, 'dikalamu': 1, 'ngadi-ngadimun': 1, 'walu-yindu': 1, 'dikalanda': 1}"
gwi,18,"{'dziitsal': 7, 'chiitsal': 7, 'ajyaa': 2}"
gya,135,"{'nɔ̧́í̧': 96, 'bu̧i̧': 4, 'soŋdɔya': 4, 'nɔ́í̧': 3, 'bu̧i': 2, 'pɛ́r': 2, 'tama': 2, 'nɔi': 1, ""nɔi'i"": 1, 'wor': 1, 'kɔra': 1, 'nɔ̧́i̧': 1, 'nɔ́i̧': 1, 'o': 1, 'nɔ̧́í': 1, 'war': 1, 'zakati': 1, 'ndɛrɛ': 1, 'wi-mɔka-see': 1, 'nyaa': 1, 'nde': 1, 'nɔ̧́í-nyɛr': 1}"
gym,18,"{'nukwä': 13, 'nikenkä': 2, 'jüden': 2, 'nebe': 1}"
gyr,18,"{'vɨ̃rai': 16, 'oveve': 1, 'rohoguar': 1}"
hae,18,"{'shimbirroonni': 5, 'qilleensa': 3, 'shimbirroon': 2, 'bararan': 1, 'caaltu': 1, 'afuritti': 1, 'shimbirroo': 1, 'makluuqa': 1, ""deddeebi'an"": 1, 'allaattii': 1, 'allaattiin': 1}"
hag,18,"{'niinsi': 15, 'waagi': 1, 'niinbeeri': 1}"
hak,18,"{'tiâu-é': 8, 'fî-niâu': 7, 'fî-khìm': 2, 'teu': 1}"
hat,135,"{'zwazo': 110, 'vole': 4, 'kalite': 3, 'karanklou': 3, 'gra': 1, 'koukou': 1, 'pipirit': 1, 'ti': 1, 'plannen': 1, 'malfini': 1, 'zèl': 1}"
hau,18,"{'tsuntsaye': 16, 'tsuntsu': 2}"
haw,14,"{'manu': 13, 'pau': 1}"
hay,18,"{""n'ebinyonyi"": 8, 'ebinyonyi': 6, 'amahungu': 2, ""n'ey'enfuru"": 1, 'ekihagaire': 1}"
